UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,2,2024,18,4385826,2243802,2142024,1632376,1546962,330104,322659,36358,34850,126419,123605,6707,6679,111838,107269,1734872,1645178,388741,379461,60220,57458,167665,163032,14740,14290,1662957,1589319,1131817,1070312,299629,293308,18088,17797,120395,117936,4578,4619,88450,85347,1213142,1148667,346807,339280,33287,32282,154953,151050,10524,10304,580845,552705,500559,476650,30475,29351,18270,17053,6024,5669,2129,2060,23388,21922,521730,496511,41934,40181,26933,25176,12712,11982,4216,3986
R,2,2024,19,4371944,2235415,2136529,1628875,1544978,325667,317400,35984,33895,130989,129703,6748,6493,107152,104060,1726933,1640043,380980,371631,59241,56436,171065,168067,14531,14032,1667640,1596130,1138239,1078017,296151,289174,18104,17253,125042,124065,4765,4628,85339,82993,1216640,1154038,340783,333106,33196,31936,158807,156460,10571,10298,567775,540399,490636,466961,29516,28226,17880,16642,5947,5638,1983,1865,21813,21067,510293,486005,40197,38525,26045,24500,12258,11607,3960,3734
R,2,2024,20,4388465,2242310,2146155,1641555,1557748,323115,316749,35066,33538,132364,131121,6567,6338,103643,100661,1736383,1649831,375982,368589,58108,55888,171134,168445,14194,13670,1684352,1612756,1158548,1095822,294268,289395,17696,17257,126615,125607,4643,4525,82582,80150,1234341,1169383,337050,331285,32716,31937,159297,156987,10374,10013,557958,533399,483007,461926,28847,27354,17370,16281,5749,5514,1924,1813,21061,20511,502042,480448,38932,37304,25392,23951,11837,11458,3820,3657
R,2,2024,21,4350122,2221912,2128210,1625376,1543487,322713,318006,35105,33063,133496,131413,6513,6302,98709,95939,1715358,1630914,372792,367141,57648,55070,170299,166800,13979,13413,1672264,1602551,1149059,1086948,294180,291327,17692,17240,127858,126170,4647,4497,78828,76369,1221122,1156800,334786,331026,32468,31683,158926,155928,10295,9871,549648,525659,476317,456539,28533,26679,17413,15823,5638,5243,1866,1805,19881,19570,494236,474114,38006,36115,25180,23387,11373,10872,3684,3542
R,2,2024,22,4371753,2231098,2140655,1629726,1552173,328016,322776,34727,32617,135687,132732,6289,6169,96653,94188,1717790,1637886,376993,370997,57513,55038,171271,166978,13483,13216,1688860,1622588,1159462,1101818,299879,296423,17863,17217,130318,127562,4477,4359,76861,75209,1229656,1170481,339426,335546,32813,32117,160326,156483,9964,9720,542238,518067,470264,450355,28137,26353,16864,15400,5369,5170,1812,1810,19792,18979,488134,467405,37567,35451,24700,22921,10945,10495,3519,3496
R,2,2024,23,4455287,2272787,2182500,1652836,1574202,337684,333081,34945,33506,145268,142804,6373,6242,95681,92665,1739851,1658266,385725,380250,58047,55809,180702,176632,13574,13261,1729936,1663882,1181131,1123434,309889,306551,18267,17635,139783,137681,4645,4415,76221,74166,1250529,1190900,348652,344796,33595,32704,169795,166282,10129,9733,542851,518618,471705,450768,27795,26530,16678,15871,5485,5123,1728,1827,19460,18499,489322,467366,37073,35454,24452,23105,10907,10350,3445,3528
R,2,2024,24,4366157,2223805,2142352,1619981,1547435,331103,327203,34311,33054,140492,139235,6287,6004,91631,89421,1703260,1628346,377347,372909,57146,55177,173446,171295,13281,12880,1698654,1638339,1163241,1109205,304332,301506,18195,17674,135234,134226,4562,4282,73090,71446,1229814,1173947,341758,338654,33507,32618,163140,161235,9899,9530,525151,504013,456740,438230,26771,25697,16116,15380,5258,5009,1725,1722,18541,17975,473446,454399,35589,34255,23639,22559,10306,10060,3382,3350
R,2,2024,25,4370110,2221839,2148271,1619807,1550726,330422,328197,33827,32993,141288,142587,6283,5923,90212,87845,1701502,1630295,375251,372587,56529,55403,173964,173948,13467,12628,1703592,1649044,1169109,1116375,303934,302853,17986,17620,135993,137544,4589,4247,71981,70405,1234428,1180264,340189,338939,33313,32997,163637,164007,10128,9436,518247,499227,450698,434351,26488,25344,15841,15373,5295,5043,1694,1676,18231,17440,467074,450031,35062,33648,23216,22406,10327,9941,3339,3192
R,2,2024,26,4332177,2199649,2132528,1598889,1534434,327755,325807,33292,32389,147034,149076,6262,5952,86417,84870,1677066,1611098,370288,368059,55648,54441,178404,179626,12985,12430,1691952,1643506,1156689,1108349,302435,301229,17552,17536,141858,144104,4590,4337,68828,67951,1219039,1169784,336699,335494,32753,32717,168385,170013,9771,9333,507697,489022,442200,426085,25320,24578,15740,14853,5176,4972,1672,1615,17589,16919,458027,441314,33589,32565,22895,21724,10019,9613,3214,3097
R,2,2024,27,4371121,2216359,2154762,1614018,1550075,326250,326802,33281,32196,151785,156501,6360,5985,84665,83203,1690574,1625017,367135,367709,55825,54400,182688,186464,13081,12657,1708976,1667460,1171792,1125150,300968,302792,17702,17373,146737,151525,4606,4363,67171,66257,1232640,1184872,333626,335749,32873,32541,173024,176899,9801,9543,507383,487302,442226,424925,25282,24010,15579,14823,5048,4976,1754,1622,17494,16946,457934,440145,33509,31960,22952,21859,9664,9565,3280,3114
R,2,2024,28,4416755,2240810,2175945,1627567,1562586,334109,332605,33216,31896,156670,161998,6472,6406,82776,80454,1702068,1634845,373437,371790,56129,54099,186944,190955,13163,13055,1733790,1687364,1185253,1136057,308732,308403,17861,17172,151615,156958,4713,4663,65616,64111,1244311,1193725,340169,339832,33513,32483,177305,181487,9932,9892,507020,488581,442314,426529,25377,24202,15355,14724,5055,5040,1759,1743,17160,16343,457757,441120,33268,31958,22616,21616,9639,9468,3231,3163
R,2,2024,29,4485281,2272190,2213091,1642755,1580561,348510,348430,33562,32724,160213,165345,6569,6623,80581,79408,1714854,1651436,386106,386614,56687,55333,189692,194058,13530,13233,1764697,1724750,1199628,1154473,322919,323817,18300,17780,155153,160445,4826,4896,63871,63339,1256737,1210987,352818,354471,34273,33586,180256,184811,10252,10079,507493,488341,443127,426088,25591,24613,15262,14944,5060,4900,1743,1727,16710,16069,458117,440449,33288,32143,22414,21747,9436,9247,3278,3154
R,2,2024,30,4569648,2316864,2252784,1669538,1602385,363740,361900,34497,33657,165070,170672,6728,6678,77291,77492,1738263,1671226,399157,398544,57109,56456,193884,198656,13554,13376,1803672,1762084,1220692,1173808,337701,337168,18920,18793,160118,165677,4907,4957,61334,61681,1275207,1228592,365812,366406,34627,34807,184633,189459,10226,10190,513192,490700,448846,428577,26039,24732,15577,14864,4952,4995,1821,1721,15957,15811,463056,442634,33345,32138,22482,21649,9251,9197,3328,3186
R,2,2024,31,4671244,2366443,2304801,1704237,1639502,374722,371786,35928,34326,169179,176911,6899,6759,75478,75517,1771183,1706462,408013,406204,58859,57109,197702,204882,13672,13457,1846035,1808947,1249011,1205989,348223,346609,19820,19330,164235,171868,5024,4973,59722,60178,1301943,1259330,374310,373876,35793,35411,188704,195831,10387,10234,520408,495854,455226,433513,26499,25177,16108,14996,4944,5043,1875,1786,15756,15339,469240,447132,33703,32328,23066,21698,8998,9051,3285,3223
R,2,2024,32,4740900,2390240,2350660,1721141,1668450,376346,381074,36749,34168,175926,184950,7536,7086,72542,74932,1784697,1733971,407552,414847,59153,56640,203994,213815,14522,14124,1871537,1858890,1268989,1240929,349194,354226,20217,19496,170874,179617,5484,5229,56779,59393,1318610,1292781,373180,380665,35606,35227,194870,204269,11018,10760,518703,491770,452152,427521,27152,26848,16532,14672,5052,5333,2052,1857,15763,15539,466087,441190,34372,34182,23547,21413,9124,9546,3504,3364
R,2,2024,33,4816869,2430686,2386183,1757383,1698473,376660,383292,36296,33618,183173,191690,7823,7272,69351,71838,1817824,1761219,405454,415214,57838,55361,211066,219639,14780,14174,1909262,1900571,1303133,1277099,349153,355936,19627,19225,177797,186297,5663,5425,53889,56589,1349855,1326360,370917,380735,34270,34319,201694,210132,11152,10908,521424,485612,454250,421374,27507,27356,16669,14393,5376,5393,2160,1847,15462,15249,467969,434859,34537,34479,23568,21042,9372,9507,3628,3266
R,2,2024,34,4729145,2384842,2344303,1730155,1669266,364230,374393,35448,32628,182777,193578,7952,7116,64280,67322,1786335,1727971,390518,403867,55484,53167,208692,219949,14278,13603,1877820,1875200,1288154,1262106,337459,347784,19012,18710,177575,188260,5817,5366,49803,52974,1331474,1308111,357174,370501,32599,32922,199811,210913,10828,10566,507022,469103,442001,407160,26771,26609,16436,13918,5202,5318,2135,1750,14477,14348,454861,419860,33344,33366,22885,20245,8881,9036,3450,3037
R,2,2024,35,4631575,2335169,2296406,1705293,1643003,342325,355708,34529,31544,184788,195629,7731,7052,60503,63470,1757921,1698293,366381,383055,53494,50975,209635,220843,13893,13170,1836282,1839635,1269436,1246145,316704,329936,18233,17844,179705,190428,5679,5351,46525,49931,1309734,1289477,334346,350796,30877,31394,201035,212124,10581,10253,498887,456771,435857,396858,25621,25772,16296,13700,5083,5201,2052,1701,13978,13539,448187,408816,32035,32259,22617,19581,8600,8719,3312,2917
R,2,2024,36,4537941,2291049,2246892,1689959,1620439,324432,338627,33371,30601,178374,189403,7766,6884,57147,60938,1739500,1673607,346992,364468,51416,49398,201944,213726,13801,12920,1795981,1797078,1255868,1228868,299870,313715,17502,17172,173449,184530,5599,5188,43693,47605,1293483,1270263,316300,333205,29423,30104,193671,205475,10419,10014,495068,449814,434091,391571,24562,24912,15869,13429,4925,4873,2167,1696,13454,13333,446017,403344,30692,31263,21993,19294,8273,8251,3382,2906
R,2,2024,37,4507351,2277555,2229796,1692035,1617182,314263,330227,32781,29878,176454,187202,7658,6932,54364,58375,1739398,1667935,335126,354788,50328,48607,198941,210349,13272,12611,1783533,1782106,1258225,1226853,289949,305572,16970,16614,171519,182494,5466,5169,41404,45404,1294097,1266117,304868,324075,28580,29467,190840,202370,9967,9724,494022,447690,433810,390329,24314,24655,15811,13264,4935,4708,2192,1763,12960,12971,445301,401818,30258,30713,21748,19140,8101,7979,3305,2887
R,2,2024,38,4531121,2290498,2240623,1710741,1632706,310316,326843,32443,29740,176179,187660,7763,7071,53056,56603,1756750,1681838,330563,350001,49918,48060,197896,210374,13425,12889,1791027,1791268,1271821,1240323,286090,302357,16275,16508,171270,182905,5552,5408,40019,43767,1306263,1278104,300423,319433,27727,29195,189808,202370,10044,10089,499471,449355,438920,392383,24226,24486,16168,13232,4909,4755,2211,1663,13037,12836,450487,403734,30140,30568,22191,18865,8088,8004,3381,2800
R,2,2024,39,4464469,2250321,2214148,1685670,1615535,299485,319685,31618,29251,175040,187930,7507,6761,51001,54986,1729925,1663168,318481,341590,48719,47448,196017,210340,13068,12410,1760202,1769173,1254321,1226550,276215,295755,16021,16144,170133,183381,5324,5054,38188,42289,1287195,1263021,289474,311648,27176,28627,188016,202557,9734,9584,490119,444975,431349,388985,23270,23930,15597,13107,4907,4549,2183,1707,12813,12697,442730,400147,29007,29942,21543,18821,8001,7783,3334,2826
R,2,2024,40,4426465,2229803,2196662,1675534,1604751,292896,314995,31536,29020,173052,187230,7381,6788,49404,53878,1718353,1651405,311172,335974,48261,47347,193489,209114,12723,12460,1745582,1753338,1248959,1217068,270126,291213,15827,15874,168302,182788,5308,5119,37060,41276,1280828,1252593,282836,306444,26852,28437,185662,201461,9521,9634,484221,443324,426575,387683,22770,23782,15709,13146,4750,4442,2073,1669,12344,12602,437525,398812,28336,29530,21409,18910,7827,7653,3202,2826
R,2,2024,41,4488398,2259368,2229030,1702506,1632532,295751,319345,32171,29464,171971,186916,7452,6926,49517,53847,1745412,1679014,313882,340430,49287,48083,192187,208562,12902,12559,1764721,1775153,1266235,1235420,272629,294850,16109,16137,167196,182218,5342,5187,37210,41341,1298200,1270840,285261,310169,27466,29003,184401,200700,9685,9725,494647,453877,436271,397112,23122,24495,16062,13327,4775,4698,2110,1739,12307,12506,447212,408174,28621,30261,21821,19080,7786,7862,3217,2834
R,2,2024,42,4402874,2213013,2189861,1673757,1608404,288526,313533,30608,28217,165100,181529,7310,6543,47712,51635,1714974,1652939,305901,333932,47499,46251,184397,201983,12507,12011,1735045,1745306,1252406,1218909,266170,289864,15136,15318,160456,176876,5202,4829,35675,39510,1282954,1252793,278237,304639,26312,27722,176785,194314,9310,9203,477968,444555,421351,389495,22356,23669,15472,12899,4644,4653,2108,1714,12037,12125,432020,400146,27664,29293,21187,18529,7612,7669,3197,2808
R,2,2024,43,4424420,2224180,2200240,1685443,1615948,293680,320601,31004,28663,159283,177044,7326,6446,47444,51538,1726382,1660430,311073,340992,47845,46856,178458,197239,12633,11900,1738186,1752292,1256289,1223450,271418,296501,15441,15749,154473,172450,5160,4788,35405,39354,1286562,1257142,283446,311176,26611,28359,170669,189662,9395,9205,485994,447948,429154,392498,22262,24100,15563,12914,4810,4594,2166,1658,12039,12184,439820,403288,27627,29816,21234,18497,7789,7577,3238,2695
R,2,2024,44,4281874,2148614,2133260,1627945,1565111,284923,313067,29799,27414,154220,172104,6723,6307,45004,49257,1666808,1607431,301247,332563,46250,44988,172063,191387,11777,11546,1680980,1700922,1215361,1186298,263206,289746,14748,14967,149741,167750,4697,4726,33227,37435,1243796,1218181,274323,303612,25565,27155,164707,184124,8695,8944,467634,432338,412584,378813,21717,23321,15051,12447,4479,4354,2026,1581,11777,11822,423012,389250,26924,28951,20685,17833,7356,7263,3082,2602
R,2,2024,45,4136310,2069585,2066725,1572540,1518597,271392,301231,28002,26536,149111,168056,6209,5802,42331,46503,1608977,1558592,286699,319259,43499,43415,166020,186342,10790,10630,1625196,1647957,1179339,1151789,251047,278706,14178,14380,144837,163735,4444,4251,31351,35096,1206015,1181713,261518,291413,24426,25951,159088,179258,8069,8146,444389,418768,393201,366808,20345,22525,13824,12156,4274,4321,1765,1551,10980,11407,402962,376879,25181,27846,19073,17464,6932,7084,2721,2484
R,2,2024,46,4093443,2043846,2049597,1560948,1513312,264149,294967,27895,26498,143897,163900,6158,5774,40799,45146,1595984,1551930,278730,312402,43162,43184,160125,181577,10586,10511,1601636,1629400,1168839,1143848,244589,272986,14139,14556,139630,159609,4387,4278,30052,34123,1194328,1172770,254420,285209,24243,26089,153267,174644,7881,8092,442210,420197,392109,369464,19560,21981,13756,11942,4267,4291,1771,1496,10747,11023,401656,379160,24310,27193,18919,17095,6858,6933,2705,2419
R,2,2024,47,3955233,1971761,1983472,1504237,1463907,252026,282924,26861,25133,144079,163234,5806,5465,38752,42809,1537647,1500373,265433,299177,41430,41165,159604,180200,10159,10030,1543797,1572792,1124133,1101592,233235,261882,13719,13907,139938,159050,4158,4009,28614,32352,1148496,1128849,242152,273304,23467,25067,153025,173387,7597,7690,427964,410680,380104,362315,18791,21042,13142,11226,4141,4184,1648,1456,10138,10457,389151,371524,23281,25873,17963,16098,6579,6813,2562,2340
R,2,2024,48,3904273,1945488,1958785,1482936,1445229,248653,279770,26343,24852,145286,163169,5526,5348,36744,40417,1514512,1479691,261440,294826,40443,40144,159928,179302,9508,9590,1525589,1554285,1109239,1087479,230561,259430,13378,13688,141286,159044,3995,3978,27130,30666,1132262,1113382,239052,269948,22887,24391,153644,172773,7168,7392,419899,404500,373697,357750,18092,20340,12965,11164,4000,4125,1531,1370,9614,9751,382250,366309,22388,24878,17556,15753,6284,6529,2340,2198
R,2,2024,49,3908296,1946330,1961966,1490853,1456123,245419,277350,26058,24570,143833,160074,5582,5068,34585,38781,1520278,1489015,257193,291685,39626,39564,157636,175474,9510,9058,1534211,1563200,1122121,1101717,228632,258285,13255,13593,139999,156223,4083,3762,26121,29620,1144120,1126541,236769,268360,22540,24167,151874,169496,7264,6998,412119,398766,368732,354406,16787,19065,12803,10977,3834,3851,1499,1306,8464,9161,376158,362474,20424,23325,17086,15397,5762,5978,2246,2060
R,2,2024,50,3843098,1910150,1932948,1461581,1432109,241850,274404,25041,24261,142813,159861,5182,5029,33683,37284,1490242,1463588,253128,288018,38276,38719,156420,174810,8962,8994,1517149,1547502,1109665,1089262,225881,256024,12862,13507,139288,156122,3845,3759,25608,28828,1131192,1113328,233576,265755,22120,23953,151034,169037,6951,6967,393001,385446,351916,342847,15969,18380,12179,10754,3525,3739,1337,1270,8075,8456,359050,350260,19552,22263,16156,14766,5386,5773,2011,2027
R,2,2024,51,3966732,1971493,1995239,1511137,1481754,252458,285584,25672,24605,143246,160964,5208,5035,33772,37297,1539801,1513215,263329,298971,39357,39541,156876,175765,8985,8968,1577969,1609179,1158339,1138126,236736,267336,13389,13822,139645,157201,3918,3743,25942,28951,1180109,1162226,244274,276954,23127,24722,151492,170028,6976,6998,393524,386060,352798,343628,15722,18248,12283,10783,3601,3763,1290,1292,7830,8346,359692,350989,19055,22017,16230,14819,5384,5737,2009,1970
R,2,2024,52,4162545,2073441,2089104,1611151,1573552,258906,291945,25536,24897,139107,156220,5283,4870,33458,37620,1639448,1605313,269579,305185,39460,40428,152386,170822,9045,8894,1687988,1710788,1265459,1236471,243467,274276,13795,14354,135448,152633,3927,3679,25892,29375,1287096,1260987,250955,283764,23872,25852,147001,165338,7026,7004,385453,378316,345692,337081,15439,17669,11741,10543,3659,3587,1356,1191,7566,8245,352352,344326,18624,21421,15588,14576,5385,5484,2019,1890
R,2,2024,53,4359635,2174659,2184976,1699989,1657527,269452,302941,26349,25414,139189,156030,5095,5091,34585,37973,1729294,1689430,280526,316252,41044,41480,152495,170520,9106,9352,1787974,1809915,1353141,1323780,253880,285166,14522,14817,135617,152377,3819,3833,26995,29942,1375765,1348677,261750,294891,25337,26947,147159,164893,7129,7354,386685,375061,346848,333747,15572,17775,11827,10597,3572,3653,1276,1258,7590,8031,353529,340753,18776,21361,15707,14533,5336,5627,1977,1998
R,2,2024,54,4170203,2075154,2095049,1628460,1597620,253592,285293,24796,24109,130902,147901,5190,4962,32214,35164,1655698,1627048,263616,297318,38782,39400,143245,161324,9050,8932,1706765,1736796,1297967,1278075,238817,268653,13701,14252,127500,144394,3929,3822,24851,27600,1318725,1300947,245731,277327,23903,25775,138186,155952,7116,7117,368389,358253,330493,319545,14775,16640,11095,9857,3402,3507,1261,1140,7363,7564,336973,326101,17885,19991,14879,13625,5059,5372,1934,1815
R,2,2024,55,4046594,2011789,2034805,1580325,1554633,244591,274845,24274,23227,128111,144475,4567,4748,29921,32877,1605588,1582096,253612,285888,37674,37927,139475,156746,8082,8515,1661869,1694480,1266345,1251166,230316,258852,13564,13830,125017,141229,3437,3590,23190,25813,1285708,1272461,236491,266732,23540,25006,134873,151914,6333,6736,349920,340325,313980,303467,14275,15993,10710,9397,3094,3246,1130,1158,6731,7064,319880,309635,17121,19156,14134,12921,4602,4832,1749,1779
R,2,2024,56,3970683,1967206,2003477,1552647,1535549,241522,274910,23108,23053,116888,133943,4626,4575,28415,31447,1576601,1561713,250003,285557,36108,37366,127570,145374,7909,8312,1630570,1673474,1250461,1241047,227678,259294,13025,14040,113911,130928,3478,3517,22017,24648,1268771,1261311,233461,266862,22701,24982,123179,140757,6252,6640,336636,330003,302186,294502,13844,15616,10083,9013,2977,3015,1148,1058,6398,6799,307830,300402,16542,18695,13407,12384,4391,4617,1657,1672
R,2,2024,57,4005113,1976668,2028445,1565699,1563442,242418,278347,22878,22891,113343,128459,4696,4599,27634,30707,1588758,1588916,250745,288759,35802,37236,123523,139365,8071,8189,1650062,1706904,1272028,1276188,229167,263329,13225,14321,110463,125489,3601,3543,21578,24034,1289768,1295880,234856,270719,23052,25265,119258,134887,6466,6556,326606,321541,293671,287254,13251,15018,9653,8570,2880,2970,1095,1056,6056,6673,298990,293036,15889,18040,12750,11971,4265,4478,1605,1633
R,2,2024,58,4096153,2017475,2078678,1597290,1602076,250123,286633,23582,23534,114218,130932,4619,4607,27643,30896,1620309,1627701,258279,296760,36895,38266,124183,141922,8017,8265,1694290,1760642,1307384,1318387,236504,271505,13834,14908,111410,127892,3590,3626,21568,24324,1325084,1338290,242088,278722,23975,26334,120044,137341,6449,6694,323185,318036,289906,283689,13619,15128,9748,8626,2808,3040,1029,981,6075,6572,295225,289411,16191,18038,12920,11932,4139,4581,1568,1571
R,2,2024,59,4259698,2085695,2174003,1662853,1689630,253239,293807,23686,24116,113435,130283,4588,4756,27894,31411,1686137,1715600,261198,303936,37454,39691,123426,141068,7978,8473,1773646,1860278,1382572,1409277,240428,279086,14393,15698,110658,127433,3612,3761,21983,25023,1400682,1429691,245914,286372,25012,28042,119341,136792,6460,6907,312049,313725,280281,280353,12811,14721,9293,8418,2777,2850,976,995,5911,6388,285455,285909,15284,17564,12442,11649,4085,4276,1518,1566
R,2,2024,60,4284106,2096992,2187114,1679292,1708688,247672,286371,23236,23759,114751,132612,4354,4595,27687,31089,1702362,1734332,255333,296025,37201,39283,124614,143373,7729,8367,1799223,1885256,1412084,1439317,235170,272172,14380,15476,112154,129816,3394,3632,22041,24843,1430256,1459550,240518,279107,25306,27872,120748,139116,6250,6812,297769,301858,267208,269371,12502,14199,8856,8283,2597,2796,960,963,5646,6246,272106,274782,14815,16918,11895,11411,3866,4257,1479,1555
R,2,2024,61,4283090,2088755,2194335,1677423,1722136,244244,284624,22770,23629,112969,128659,4300,4533,27049,30754,1700055,1747431,251600,294246,36272,39334,122651,139100,7612,8172,1803363,1901948,1420962,1460834,232498,271254,14232,15586,110418,125960,3415,3621,21838,24693,1439039,1480899,237620,278194,25035,28186,118929,135010,6272,6685,285392,292387,256461,261302,11746,13370,8538,8043,2551,2699,885,912,5211,6061,261016,266532,13980,16052,11237,11148,3722,4090,1340,1487
R,2,2024,62,4274297,2081004,2193293,1689659,1738450,236758,279189,22212,23410,101300,117930,4214,4251,26861,30063,1712092,1763122,243933,288594,35956,39095,110837,127979,7474,7787,1811935,1917198,1447887,1491728,225693,266640,14250,15791,99007,115363,3412,3402,21686,24274,1465816,1511426,230712,273455,25255,28528,107356,124082,6187,6371,269069,276095,241772,246722,11065,12549,7962,7619,2293,2567,802,849,5175,5789,246276,251696,13221,15139,10701,10567,3481,3897,1287,1416
R,2,2024,63,4253898,2063656,2190242,1671426,1732007,236996,279468,21728,23140,103038,122014,4095,4280,26373,29333,1693520,1756053,243921,288341,35350,38592,112313,131878,7267,7761,1803074,1919689,1437364,1489727,226269,267255,13929,15848,100715,119472,3317,3473,21480,23914,1455152,1509109,231197,273800,24927,28461,108935,128052,6005,6440,260582,270553,234062,242280,10727,12213,7799,7292,2323,2542,778,807,4893,5419,238368,246944,12724,14541,10423,10131,3378,3826,1262,1321
R,2,2024,64,4136436,2001910,2134526,1625491,1691063,227690,271783,20708,22226,98702,117285,3990,3957,25329,28212,1646664,1714203,234261,280481,33833,37253,107761,126521,7022,7264,1758819,1880923,1407149,1464531,217620,260051,13559,15258,96551,114918,3229,3215,20711,22950,1424338,1483111,222287,266451,24214,27561,104527,122948,5797,6018,243091,253603,218342,226532,10070,11732,7149,6968,2151,2367,761,742,4618,5262,222326,231092,11974,14030,9619,9692,3234,3573,1225,1246
R,2,2024,65,4065408,1957032,2108376,1594987,1676865,218731,263220,19185,21195,96621,116481,3656,3813,23852,26802,1614904,1698882,224902,271225,31886,35783,104856,125209,6393,6833,1734209,1869489,1395023,1463113,209148,252149,12815,14748,94634,114295,2989,3147,19600,22037,1411249,1481045,213542,258057,23252,26852,101924,121929,5326,5746,222823,238887,199964,213752,9583,11071,6370,6447,1987,2186,667,666,4252,4765,203655,217837,11360,13168,8634,8931,2932,3280,1067,1087
R,2,2024,66,4027948,1931794,2096154,1581512,1675847,209926,255989,19015,20648,94416,113897,3518,3705,23407,26068,1600945,1697198,215987,263828,31583,35121,102496,122110,6258,6671,1718196,1864976,1389691,1468617,201017,245442,12671,14560,92535,111928,2905,3026,19377,21403,1405630,1485940,205423,251235,23074,26566,99745,119095,5250,5571,213598,231178,191821,207230,8909,10547,6344,6088,1881,1969,613,679,4030,4665,195315,211258,10564,12593,8509,8555,2751,3015,1008,1100
R,2,2024,67,3879527,1850003,2029524,1517545,1621644,198071,248297,17894,19705,91254,111315,3299,3472,21940,25091,1535874,1642302,203753,255772,29864,33913,98610,119017,5817,6317,1651097,1811179,1339096,1426216,189622,238141,11951,13978,89509,109267,2708,2910,18211,20667,1354171,1443037,193727,243635,21894,25861,96085,115987,4895,5339,198906,218345,178449,195428,8449,10156,5943,5727,1745,2048,591,562,3729,4424,181703,199265,10026,12137,7970,8052,2525,3030,922,978
R,2,2024,68,3735976,1770470,1965506,1455625,1574589,185387,234814,17002,18932,88508,110015,3065,3451,20883,23705,1473033,1593929,190727,241897,28402,32307,95505,117422,5477,6111,1582431,1755211,1286853,1386027,177307,225315,11471,13449,86860,108073,2554,2851,17386,19496,1301209,1401748,181149,230523,20990,24618,93114,114532,4655,5120,188039,210295,168772,188562,8080,9499,5531,5483,1648,1942,511,600,3497,4209,171824,192181,9578,11374,7412,7689,2391,2890,822,991
R,2,2024,69,3636480,1715608,1920872,1416643,1545697,175206,224874,15829,17719,85336,106804,2966,3258,19628,22520,1432945,1564077,180191,231562,26765,30477,91853,113712,5226,5862,1541044,1722120,1259224,1366546,167934,216241,11002,12910,83833,105041,2488,2723,16563,18659,1272862,1381558,171604,221219,20284,23648,89692,111124,4461,4978,174564,198752,157419,179151,7272,8633,4827,4809,1503,1763,478,535,3065,3861,160083,182519,8587,10343,6481,6829,2161,2588,765,884
R,2,2024,70,3450614,1618401,1832213,1346680,1484731,157940,208544,14511,16366,78562,98763,2609,2924,18099,20885,1361825,1501799,162389,214624,24838,28402,84375,105124,4640,5308,1460741,1649751,1204547,1320269,151251,200559,10164,11926,77273,97179,2188,2439,15318,17379,1217293,1334295,154512,205064,18995,22095,82486,102812,3976,4534,157660,182462,142133,164462,6689,7985,4347,4440,1289,1584,421,485,2781,3506,144532,167504,7877,9560,5843,6307,1889,2312,664,774
R,2,2024,71,3338150,1557138,1781012,1299951,1446486,147240,198592,13417,15553,77330,98027,2576,2832,16624,19522,1313756,1462460,151346,204209,22829,26906,82779,103935,4519,5103,1411434,1608598,1168505,1290780,141038,191046,9480,11459,76083,96511,2221,2372,14107,16430,1180121,1304069,144061,195320,17568,21192,80970,101703,3927,4344,145704,172414,131446,155706,6202,7546,3937,4094,1247,1516,355,460,2517,3092,133635,158391,7285,8889,5261,5714,1809,2232,592,759
R,2,2024,72,3168996,1471623,1697373,1237106,1385600,136179,187844,12435,14402,68126,88808,2219,2560,15558,18159,1250026,1400559,139979,193075,21550,25269,72995,93947,4047,4604,1336236,1537577,1114403,1241365,130695,180715,8956,10679,67008,87441,1906,2150,13268,15227,1125342,1253732,133547,184658,16762,20007,71407,91958,3521,3927,135387,159796,122703,144235,5484,7129,3479,3723,1118,1367,313,410,2290,2932,124684,146827,6432,8417,4788,5262,1588,1989,526,677
